,date,open,close,high,low,volume,money
149,2021-08-12,3692.12,3694.23,3708.56,3682.38,38069284700.0,537875672496.0
150,2021-08-13,3683.44,3685.34,3710.29,3669.08,37780759100.0,532627540553.0
151,2021-08-16,3683.29,3686.44,3707.94,3679.67,39069551100.0,535223157034.0
152,2021-08-17,3680.94,3612.65,3701.53,3603.37,42251117800.0,570175393358.0
153,2021-08-18,3607.79,3652.81,3655.09,3602.88,38891681200.0,535271566736.0
154,2021-08-19,3642.33,3632.14,3647.78,3611.64,38208767800.0,537718801857.0
155,2021-08-20,3607.94,3592.03,3619.13,3558.09,39075722100.0,552427146693.0
156,2021-08-23,3601.96,3644.25,3648.59,3601.8,38441150200.0,564071713791.0
157,2021-08-24,3649.64,3683.45,3692.07,3648.45,42987727600.0,615728054741.0
158,2021-08-25,3687.06,3710.64,3710.65,3678.81,44970277200.0,597865691638.0
159,2021-08-26,3707.41,3670.03,3707.41,3667.72,50248491500.0,621835257829.0
160,2021-08-27,3662.44,3691.54,3699.97,3661.35,45505671600.0,595105126487.0
161,2021-08-30,3705.02,3697.76,3709.68,3681.88,51221575800.0,698576994390.0
162,2021-08-31,3688.19,3714.33,3714.33,3664.45,52363831000.0,703128271428.0
163,2021-09-01,3714.25,3738.62,3754.61,3683.64,66667196300.0,842106186639.0
164,2021-09-02,3731.07,3770.01,3770.35,3728.73,57221225000.0,690698821190.0
165,2021-09-03,3776.0,3753.95,3787.75,3741.01,61404426400.0,743437657245.0
166,2021-09-06,3752.28,3796.01,3800.67,3752.28,52128900400.0,653711372295.0
167,2021-09-07,3795.85,3853.39,3858.99,3788.95,54708556300.0,658499773308.0
168,2021-09-08,3850.04,3851.9,3873.04,3837.02,58577651900.0,673940540534.0
169,2021-09-09,3843.12,3870.71,3871.05,3838.23,60428407500.0,679032603286.0
170,2021-09-10,3868.68,3881.19,3901.92,3858.66,63470687200.0,758690602065.0
171,2021-09-13,3877.15,3894.03,3895.58,3870.38,55692212400.0,695747411566.0
172,2021-09-14,3888.02,3838.7,3902.94,3831.39,56439936100.0,693398619226.0
173,2021-09-15,3826.71,3831.97,3854.35,3813.2,47449886100.0,603896890591.0
